Time,radar,fall avg accel,fall burn time,fall dist,burn mass,fall time,ship mass,,,,,,,,,,,,,,,,,,,
80.04000007,1000.014027,27.51903133,5.989882575,355.1522411,830.5868013,14.30436662,4.484053135,,,,,,,,,,,,,,,,,,,
Time,radar,availthrust,thrust,thrust at alt,isp,atsip,mass,atmequiv,press,acc,acc,acc,fall dist,fall time,gravity,ship vertical speed,,acceleration,acceleration thrust,acceleration thrust at,,velocity,a,a after,calc thrust,
93.00000009,195.5671283,93.33599091,93.33599091,93.35138702,163.8916779,163.8835449,4.46338129,0.996112272,0.96068455,V(-2.63345255147791,-0.023136784, 6.46949966624985),249.8393305,1.536194496,9.800949295,-118.2387652,6.317261518,20.91149844,20.91149844,20.91494787,,-118.5731805,11.1602195,20.9702195,,
93.04000009,190.8419126,93.29608154,93.29608154,93.31144714,163.8214569,163.8134308,4.46105814,0.996179773,0.961362593,V(-3.40332198768369,-0.026234304, 8.41370590847568),249.1892829,1.505826236,9.801103303,-117.791863,6.240428256,20.9134422,20.9134422,20.91688658,,-118.1303921,11.0697081,20.8797081,,
93.08000009,186.1347676,93.25635529,93.25635529,93.27170563,163.7515411,163.7436676,4.458734512,0.996247019,0.962038452,V(-4.17379672780228,-0.029258454, 10.3584704685206),248.5468665,1.475317609,9.801256731,-117.345137,6.162938955,20.91543128,20.91543128,20.91887404,,-117.6786229,11.29422953,21.10422953,,
93.12000009,181.4453797,93.21682739,93.21682739,93.23216248,163.6819763,163.6742401,4.456411362,0.996314009,0.962712128,V(-4.17678378980196,-0.028830018, 10.359919366229),247.9090449,1.444670609,9.801409578,-116.8981346,6.084763262,20.91746471,20.91746471,20.92090584,,-117.2346972,11.0981427,20.9081427,,
93.16000009,176.7738183,93.1774826,93.1774826,93.1927948,163.6127319,163.6051331,4.454087734,0.996380744,0.96338362,V(-4.17746167560841,-0.02822745, 10.3607493954765),247.2797834,1.413882038,9.801561846,-116.4508989,6.005875525,20.91954361,20.91954361,20.9229814,,-116.7890348,11.14156051,20.95156051,,
93.20000009,172.1202439,93.13831329,93.13831329,93.15362549,163.5438232,163.5363617,4.451764584,0.996447224,0.964052928,V(-4.17774495103383,-0.02760135, 10.3629564647034),246.6561383,1.382944374,9.801713532,-116.0040273,5.926250043,20.92166186,20.92166186,20.92510144,,-116.3393602,11.2418644,21.0518644,,
93.24000009,167.4845556,93.09934998,93.09934998,93.11463165,163.4752502,163.4679108,4.449440956,0.996513448,0.964720053,V(-4.1791995600363,-0.026967447, 10.364536845221),246.0435395,1.351857443,9.80186464,-115.5572004,5.845854881,20.92383086,20.92383086,20.92726537,,-115.8922071,11.17882811,20.98882811,,
93.28000009,162.8668529,93.06056976,93.06056976,93.07585144,163.4069977,163.399826,4.447117805,0.996579417,0.965384919,V(-4.17863846002639,-0.026322551, 10.3683961259169),245.4346229,1.320622095,9.802015166,-115.1102205,5.764659567,20.92604105,20.92604105,20.92947736,,-115.4425678,11.24098386,21.05098386,,
93.32000009,158.2669285,93.02197266,93.02197266,93.03723145,163.3390808,163.3320313,4.444794178,0.99664513,0.966047602,V(-4.17885027822767,-0.025677513, 10.3699862090062),244.8349412,1.289233929,9.802165112,-114.6630182,5.682626051,20.928297,20.928297,20.93172996,,-114.9981118,11.11139875,20.92139875,,
93.36000009,153.6848547,92.98356628,92.98356628,92.99880219,163.2714844,163.2645721,4.442471027,0.996710588,0.966708101,V(-4.17901398747781,-0.025039111, 10.372943199959),244.2420253,1.25768887,9.802314477,-114.215745,5.599718786,20.93059599,20.93059599,20.93402559,,-114.5518437,11.15670252,20.96670252,,
93.40000009,149.1206003,92.94534302,92.94534302,92.96057129,163.2042236,163.1974487,4.4401474,0.99677579,0.967366416,V(-4.17846702938125,-0.024413332, 10.3766355550443),243.6554402,1.225988767,9.80246326,-113.7681237,5.515897763,20.93294088,20.93294088,20.93637056,,-114.106359,11.13711657,20.94711657,,
93.44000009,144.574323,92.90731812,92.90731812,92.92251587,163.1372986,163.1306458,4.437824249,0.996840737,0.968022472,V(-4.17875067340214,-0.023806852, 10.3778063529061),243.0793945,1.194124537,9.802611462,-113.3205734,5.431123605,20.93533067,20.93533067,20.93875527,,-113.6569338,11.23563109,21.04563109,,
93.48000009,140.0459729,92.86946106,92.86946106,92.88466644,163.0706787,163.0641937,4.435500622,0.996905428,0.96867627,V(-4.1789853984474,-0.023220956, 10.3801188607002),242.5099872,1.162092844,9.802759084,-112.8734206,5.345349983,20.93776306,20.93776306,20.94119117,,-113.2087521,11.2045436,21.0145436,,
93.52000009,135.5355118,92.83180237,92.83180237,92.84697723,163.0044098,162.9980316,4.433176994,0.996969863,0.969327884,V(-4.17912258175223,-0.02265568, 10.3815099125742),241.9481841,1.129895008,9.802906124,-112.42582,5.258527216,20.94024274,20.94024274,20.94366576,,-112.7615272,11.18062164,20.99062164,,
93.56000009,131.0429581,92.79433441,92.79433441,92.80947876,162.938446,162.9322052,4.430853844,0.997034042,0.969977239,V(-4.17879476074689,-0.022117673, 10.383806793901),241.3946918,1.097528199,9.803052582,-111.9781413,5.170602785,20.94276582,20.94276582,20.94618375,,-112.3138423,11.19212296,21.00212296,,
93.60000009,126.5683204,92.75704193,92.75704193,92.77218628,162.8728333,162.8667297,4.428530216,0.997097965,0.97062441,V(-4.17918790896993,-0.021608423, 10.3860549509611),240.8475759,1.064990008,9.803198458,-111.529973,5.081519645,20.94533342,20.94533342,20.94875314,,-111.8659433,11.197474,21.007474,,
